"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Cód.";"Unidade da Federação e Município";"Ano";"Variável";"Produto das lavouras temporárias e permanentes"
"Cód.";"Unidade da Federação e Município";"Ano";"Variável";"Banana (cacho)";"Batata-doce";"Maçã";"Mandioca";"Melão"
"2401602";"Bento Fernandes (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"-";"6000";"-";"1699";"-"
"2401602";"Bento Fernandes (RN)";"2020";"Valor da produção (Mil Reais)";"-";"25";"-";"116";"-"
"2401602";"Bento Fernandes (RN)";"2020";"Valor da produção - percentual do total geral";"-";"10,46";"-";"48,54";"-"
"2401651";"Bodó (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"-";"-";"-";"500";"-"
"2401651";"Bodó (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"-";"-";"-";"13,88";"-"
"2401651";"Bodó (RN)";"2020";"Área colhida (Hectares)";"-";"-";"-";"500";"-"
"2401651";"Bodó (RN)";"2020";"Área colhida - percentual do total geral";"-";"-";"-";"13,88";"-"
"2401651";"Bodó (RN)";"2020";"Quantidade produzida (Toneladas)";"-";"-";"-";"4334";"-"
"2401651";"Bodó (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"-";"-";"-";"8668";"-"
"2401651";"Bodó (RN)";"2020";"Valor da produção (Mil Reais)";"-";"-";"-";"1313";"-"
"2401651";"Bodó (RN)";"2020";"Valor da produção - percentual do total geral";"-";"-";"-";"20,22";"-"
"2401701";"Bom Jesus (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"1";"8";"-";"600";"-"
"2401701";"Bom Jesus (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"0,05";"0,36";"-";"27,14";"-"
"2401701";"Bom Jesus (RN)";"2020";"Área colhida (Hectares)";"1";"8";"-";"600";"-"
"2401701";"Bom Jesus (RN)";"2020";"Área colhida - percentual do total geral";"0,05";"0,36";"-";"27,14";"-"
"2401701";"Bom Jesus (RN)";"2020";"Quantidade produzida (Toneladas)";"18";"48";"-";"7200";"-"
"2401701";"Bom Jesus (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"18000";"6000";"-";"12000";"-"
"2401701";"Bom Jesus (RN)";"2020";"Valor da produção (Mil Reais)";"23";"72";"-";"3960";"-"
"2401701";"Bom Jesus (RN)";"2020";"Valor da produção - percentual do total geral";"0,37";"1,17";"-";"64,26";"-"
"2401800";"Brejinho (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"15";"-";"-";"30";"-"
"2401800";"Brejinho (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"4,00";"-";"-";"8,00";"-"
"2401800";"Brejinho (RN)";"2020";"Área colhida (Hectares)";"15";"-";"-";"30";"-"
"2401800";"Brejinho (RN)";"2020";"Área colhida - percentual do total geral";"4,00";"-";"-";"8,00";"-"
"2401800";"Brejinho (RN)";"2020";"Quantidade produzida (Toneladas)";"347";"-";"-";"360";"-"
"2401800";"Brejinho (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"23133";"-";"-";"12000";"-"
"2401800";"Brejinho (RN)";"2020";"Valor da produção (Mil Reais)";"399";"-";"-";"198";"-"
"2401800";"Brejinho (RN)";"2020";"Valor da produção - percentual do total geral";"31,59";"-";"-";"15,68";"-"
"2401859";"Caiçara do Norte (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"2";"-";"-";"-";"-"
"2401859";"Caiçara do Norte (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"0,07";"-";"-";"-";"-"
"2401859";"Caiçara do Norte (RN)";"2020";"Área colhida (Hectares)";"2";"-";"-";"-";"-"
"2401859";"Caiçara do Norte (RN)";"2020";"Área colhida - percentual do total geral";"0,07";"-";"-";"-";"-"
"2401859";"Caiçara do Norte (RN)";"2020";"Quantidade produzida (Toneladas)";"50";"-";"-";"-";"-"
"2401859";"Caiçara do Norte (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"25000";"-";"-";"-";"-"
"2401859";"Caiçara do Norte (RN)";"2020";"Valor da produção (Mil Reais)";"7";"-";"-";"-";"-"
"2401859";"Caiçara do Norte (RN)";"2020";"Valor da produção - percentual do total geral";"0,22";"-";"-";"-";"-"
"2401909";"Caiçara do Rio do Vento (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"-";"-";"-";"10";"-"
"2401909";"Caiçara do Rio do Vento (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"-";"-";"-";"2,90";"-"
"2401909";"Caiçara do Rio do Vento (RN)";"2020";"Área colhida (Hectares)";"-";"-";"-";"10";"-"
"2401909";"Caiçara do Rio do Vento (RN)";"2020";"Área colhida - percentual do total geral";"-";"-";"-";"2,90";"-"
"2401909";"Caiçara do Rio do Vento (RN)";"2020";"Quantidade produzida (Toneladas)";"-";"-";"-";"85";"-"
"2401909";"Caiçara do Rio do Vento (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"-";"-";"-";"8500";"-"
"2401909";"Caiçara do Rio do Vento (RN)";"2020";"Valor da produção (Mil Reais)";"-";"-";"-";"34";"-"
"2401909";"Caiçara do Rio do Vento (RN)";"2020";"Valor da produção - percentual do total geral";"-";"-";"-";"7,14";"-"
"2402006";"Caicó (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"-";"-";"-";"-";"-"
"2402006";"Caicó (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"-";"-";"-";"-";"-"
"2402006";"Caicó (RN)";"2020";"Área colhida (Hectares)";"-";"-";"-";"-";"-"
"2402006";"Caicó (RN)";"2020";"Área colhida - percentual do total geral";"-";"-";"-";"-";"-"
"2402006";"Caicó (RN)";"2020";"Quantidade produzida (Toneladas)";"-";"-";"-";"-";"-"
"2402006";"Caicó (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"-";"-";"-";"-";"-"
"2402006";"Caicó (RN)";"2020";"Valor da produção (Mil Reais)";"-";"-";"-";"-";"-"
"2402006";"Caicó (RN)";"2020";"Valor da produção - percentual do total geral";"-";"-";"-";"-";"-"
"2402105";"Campo Redondo (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"-";"-";"-";"-";"-"
"2402105";"Campo Redondo (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"-";"-";"-";"-";"-"
"2402105";"Campo Redondo (RN)";"2020";"Área colhida (Hectares)";"-";"-";"-";"-";"-"
"2402105";"Campo Redondo (RN)";"2020";"Área colhida - percentual do total geral";"-";"-";"-";"-";"-"
"2402105";"Campo Redondo (RN)";"2020";"Quantidade produzida (Toneladas)";"-";"-";"-";"-";"-"
"2402105";"Campo Redondo (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"-";"-";"-";"-";"-"
"2402105";"Campo Redondo (RN)";"2020";"Valor da produção (Mil Reais)";"-";"-";"-";"-";"-"
"2402105";"Campo Redondo (RN)";"2020";"Valor da produção - percentual do total geral";"-";"-";"-";"-";"-"
"2402204";"Canguaretama (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"50";"60";"-";"20";"-"
"2402204";"Canguaretama (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"0,32";"0,38";"-";"0,13";"-"
"2402204";"Canguaretama (RN)";"2020";"Área colhida (Hectares)";"50";"60";"-";"20";"-"
"2402204";"Canguaretama (RN)";"2020";"Área colhida - percentual do total geral";"0,32";"0,38";"-";"0,13";"-"
"2402204";"Canguaretama (RN)";"2020";"Quantidade produzida (Toneladas)";"1222";"540";"-";"190";"-"
"2402204";"Canguaretama (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"24440";"9000";"-";"9500";"-"
"2402204";"Canguaretama (RN)";"2020";"Valor da produção (Mil Reais)";"1650";"810";"-";"102";"-"
"2402204";"Canguaretama (RN)";"2020";"Valor da produção - percentual do total geral";"1,31";"0,64";"-";"0,08";"-"
"2402303";"Caraúbas (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"50";"60";"-";"30";"150"
"2402303";"Caraúbas (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"2,35";"2,82";"-";"1,41";"7,06"
"2402303";"Caraúbas (RN)";"2020";"Área colhida (Hectares)";"50";"60";"-";"30";"150"
"2402303";"Caraúbas (RN)";"2020";"Área colhida - percentual do total geral";"2,35";"2,82";"-";"1,41";"7,06"
"2402303";"Caraúbas (RN)";"2020";"Quantidade produzida (Toneladas)";"1233";"500";"-";"347";"4500"
"2402303";"Caraúbas (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"24660";"8333";"-";"11567";"30000"
"2402303";"Caraúbas (RN)";"2020";"Valor da produção (Mil Reais)";"1110";"385";"-";"226";"4860"
"2402303";"Caraúbas (RN)";"2020";"Valor da produção - percentual do total geral";"8,83";"3,06";"-";"1,80";"38,64"
"2402402";"Carnaúba dos Dantas (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"-";"-";"-";"-";"-"
"2402402";"Carnaúba dos Dantas (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"-";"-";"-";"-";"-"
"2402402";"Carnaúba dos Dantas (RN)";"2020";"Área colhida (Hectares)";"-";"-";"-";"-";"-"
"2402402";"Carnaúba dos Dantas (RN)";"2020";"Área colhida - percentual do total geral";"-";"-";"-";"-";"-"
"2402402";"Carnaúba dos Dantas (RN)";"2020";"Quantidade produzida (Toneladas)";"-";"-";"-";"-";"-"
"2402402";"Carnaúba dos Dantas (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"-";"-";"-";"-";"-"
"2402402";"Carnaúba dos Dantas (RN)";"2020";"Valor da produção (Mil Reais)";"-";"-";"-";"-";"-"
"2402402";"Carnaúba dos Dantas (RN)";"2020";"Valor da produção - percentual do total geral";"-";"-";"-";"-";"-"
"2402501";"Carnaubais (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"300";"-";"-";"-";"5"
"2402501";"Carnaubais (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"11,99";"-";"-";"-";"0,20"
"2402501";"Carnaubais (RN)";"2020";"Área colhida (Hectares)";"300";"-";"-";"-";"5"
"2402501";"Carnaubais (RN)";"2020";"Área colhida - percentual do total geral";"11,99";"-";"-";"-";"0,20"
"2402501";"Carnaubais (RN)";"2020";"Quantidade produzida (Toneladas)";"12000";"-";"-";"-";"100"
"2402501";"Carnaubais (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"40000";"-";"-";"-";"20000"
